"ID","1  1","10  1","2  1","3  1","4  1","5  1","6  1","7  1","8  1","9  1"
"0","4","2","1","1","2","1","2","2","1","4"
"1","1","1","1","1","2","1","2","1","1","2"
"2","3","4","3","2","3","1","4","2","3","2"
"3","3","2","3","1","3","1","5","2","3","2"
"4","2","2","2","1","1","1","2","1","2","1"
"5","3","2","2","1","2","1","2","1","2","1"
"6","4","2","1","1","3","1","4","1","2","1"
"7","3","2","3","2","3","1","4","2","3","2"
"8","2","1","3","1","2","1","4","1","2","1"
"9","3","3","3","1","4","1","3","3","3","3"
"10","2","3","3","1","2","1","3","3","3","3"
"11","3","2","3","1","2","1","5","1","2","5"
"12","3","1","3","","3","1","","","","4"
"13","1","2","1","1","2","1","5","2","2","1"
"14","4","4","1","1","3","1","4","2","4","2"
"15","3","2","2","1","4","1","4","1","1","1"
"16","3","3","2","1","1","1","3","3","3","3"
"17","4","2","1","2","1","1","5","1","3","2"
"18","3","2","3","2","2","1","4","2","2","2"
"19","4","2","1","1","4","2","4","1","4","1"
"20","1","2","3","1","2","1","4","2","2","5"
"21","3","1","3","1","2","1","","1","4","1"
"22","3","1","2","1","3","2","2","1","4","2"
"23","3","2","3","1","3","1","1","1","1","2"
"24","3","3","2","1","2","2","3","3","3","3"
"25","2","4","3","1","2","1","5","1","4","2"
"26","3","2","3","1","1","1","2","2","2","2"
"27","3","2","3","1","1","1","4","M","1","5"
"28","3","4","2","1","2","1","4","1","2","1"
"29","3","1","1","2","3","1","2","1","2","1"
"30","2","1","3","2","2","1","3","3","3","1"
"31","4","2","1","1","3","3","4","1","2","1"
"32","1","2","1","1","1","1","2","1","1","2"
"33","3","2","3","2","","2","4","2","2","1"
"34","4","2","1","1","2","1","4","1","2","1"